2019-07-16T05:53:01.903Z - info: Website generation started at 1:53:01 PM
2019-07-16T05:53:03.058Z - info: Building assets...
2019-07-16T05:53:03.998Z - info: Assets built
2019-07-16T05:53:03.998Z - info: Generating pages...
2019-07-16T05:54:15.676Z - info: Pages built
2019-07-16T05:54:30.150Z - info: Website generation complete! Total build time: 88.254s
2019-07-16T06:01:06.421Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\architecture\introduction\index.md
2019-07-16T06:01:06.426Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\architecture\introduction\what\index.md
2019-07-16T06:01:06.427Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\architecture\print.md
2019-07-16T06:01:06.434Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\basic\avoidEmptyCatchBlocks\index.md
2019-07-16T06:01:06.438Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\basic\deleteDeadCode\index.md
2019-07-16T06:01:06.440Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\basic\dontRecycleVarsOrParams\index.md
2019-07-16T06:01:06.443Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\basic\index.md
2019-07-16T06:01:06.443Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\basic\useDefaultBranch\index.md
2019-07-16T06:01:06.444Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\index.md
2019-07-16T06:01:06.449Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\intermediate\index.md
2019-07-16T06:01:06.449Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\intermediate\minimiseCodeDuplication\index.md
2019-07-16T06:01:06.455Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\intermediate\minimiseVariableScope\index.md
2019-07-16T06:01:06.455Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\avoidShortcuts\introduction\index.md
2019-07-16T06:01:06.460Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\basic\dontRepeatObvious\index.md
2019-07-16T06:01:06.466Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\basic\index.md
2019-07-16T06:01:06.467Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\basic\dontRepeatObvious\text.md
2019-07-16T06:01:06.467Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\basic\writeToReader\index.md
2019-07-16T06:01:06.471Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\index.md
2019-07-16T06:01:06.473Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\intermediate\explainWhatWhyNotHow\index.md
2019-07-16T06:01:06.473Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\intermediate\index.md
2019-07-16T06:01:06.478Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\commentMinimally\introduction\index.md
2019-07-16T06:01:06.479Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\followStandard\basic\index.md
2019-07-16T06:01:06.486Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\followStandard\index.md
2019-07-16T06:01:06.486Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\followStandard\basic\text.md
2019-07-16T06:01:06.486Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\followStandard\intermediate\index.md
2019-07-16T06:01:06.491Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\followStandard\introduction\index.md
2019-07-16T06:01:06.498Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\introduction\basic\index.md
2019-07-16T06:01:06.498Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\index.md
2019-07-16T06:01:06.505Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\introduction\index.md
2019-07-16T06:01:06.505Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\introduction\basic\text.md
2019-07-16T06:01:06.505Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\advanced\index.md
2019-07-16T06:01:06.509Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\advanced\makeHappyPathProminent\index.md
2019-07-16T06:01:06.510Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\index.md
2019-07-16T06:01:06.515Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\avoidDeepNesting\images\arrowheadStyle.png
2019-07-16T06:01:06.516Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\avoidDeepNesting\index.md
2019-07-16T06:01:06.523Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\avoidLongMethods\index.md
2019-07-16T06:01:06.523Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\avoidDeepNesting\text.md
2019-07-16T06:01:06.524Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\index.md
2019-07-16T06:01:06.533Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\makeCodeObvious\index.md
2019-07-16T06:01:06.533Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\index.md
2019-07-16T06:01:06.533Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\basic\index.md
2019-07-16T06:01:06.537Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\layouts\default\footer.md
2019-07-16T06:01:06.538Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\layouts\default\head.md
2019-07-16T06:01:06.538Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\layouts\default\header.md
2019-07-16T06:01:06.539Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\layouts\default\styles.css
2019-07-16T06:01:06.539Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\layouts\default\scripts.js
2019-07-16T06:01:06.541Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\intermediate\avoidPrematureOptimizations\index.md
2019-07-16T06:01:06.541Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\intermediate\dontTripReader\index.md
2019-07-16T06:01:06.541Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\intermediate\index.md
2019-07-16T06:01:06.549Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\intermediate\practiceKISSing\index.md
2019-07-16T06:01:06.550Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\intermediate\slapHard\index.md
2019-07-16T06:01:06.550Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\intermediate\structureCodeLogically\index.md
2019-07-16T06:01:06.550Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\maximiseReadability\introduction\index.md
2019-07-16T06:01:06.558Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\basic\index.md
2019-07-16T06:01:06.558Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\basic\nounsAndVerbsAsNames\index.md
2019-07-16T06:01:06.558Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\basic\useStandardWords\index.md
2019-07-16T06:01:06.568Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\index.md
2019-07-16T06:01:06.569Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\intermediate\avoidMisleadingNames\index.md
2019-07-16T06:01:06.569Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\basic\nounsAndVerbsAsNames\text.md
2019-07-16T06:01:06.569Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\intermediate\index.md
2019-07-16T06:01:06.576Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\intermediate\notTooLongNorShort\index.md
2019-07-16T06:01:06.576Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\intermediate\useNameExplain\index.md
2019-07-16T06:01:06.576Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\nameWell\introduction\index.md
2019-07-16T06:01:06.586Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\common\all.md
2019-07-16T06:01:06.586Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\codeQuality\print.md
2019-07-16T06:01:06.594Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\common\definitions.md
2019-07-16T06:01:06.594Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\common\outcomes.md
2019-07-16T06:01:06.603Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\about\index.md
2019-07-16T06:01:06.603Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\common\print.md
2019-07-16T06:01:06.603Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\common\references.md
2019-07-16T06:01:06.603Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\classes\classLevelMembers\index.md
2019-07-16T06:01:06.608Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\classes\definingClasses\index.md
2019-07-16T06:01:06.608Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\classes\gettersAndSetters\index.md
2019-07-16T06:01:06.609Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\classes\index.md
2019-07-16T06:01:06.617Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\collections\arrayListClass\index.md
2019-07-16T06:01:06.617Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\collections\hashMapClass\index.md
2019-07-16T06:01:06.617Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\collections\index.md
2019-07-16T06:01:06.625Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\collections\what\index.md
2019-07-16T06:01:06.625Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\controlFlow\branching\index.md
2019-07-16T06:01:06.625Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\controlFlow\index.md
2019-07-16T06:01:06.634Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\controlFlow\loops\index.md
2019-07-16T06:01:06.634Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\controlFlow\methods\index.md
2019-07-16T06:01:06.634Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\dataTypes\arrays\index.md
2019-07-16T06:01:06.643Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\dataTypes\index.md
2019-07-16T06:01:06.643Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\dataTypes\operators\index.md
2019-07-16T06:01:06.643Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\dataTypes\arrays\resources.md
2019-07-16T06:01:06.644Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\dataTypes\primitiveTypes\index.md
2019-07-16T06:01:06.652Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\dataTypes\variables\index.md
2019-07-16T06:01:06.652Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\exceptions\how\index.md
2019-07-16T06:01:06.652Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\exceptions\index.md
2019-07-16T06:01:06.652Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\exceptions\what\index.md
2019-07-16T06:01:06.659Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\generics\how\index.md
2019-07-16T06:01:06.659Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\generics\index.md
2019-07-16T06:01:06.660Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\generics\what\index.md
2019-07-16T06:01:06.670Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\gettingStarted\compiling\index.md
2019-07-16T06:01:06.670Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\gettingStarted\helloWorld\index.md
2019-07-16T06:01:06.670Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\gettingStarted\index.md
2019-07-16T06:01:06.670Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\gettingStarted\installation\index.md
2019-07-16T06:01:06.681Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\gettingStarted\running\index.md
2019-07-16T06:01:06.691Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\inheritance\abstractClassesAndMethods\index.md
2019-07-16T06:01:06.691Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\gettingStarted\running\text.md
2019-07-16T06:01:06.692Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\inheritance\basic\index.md
2019-07-16T06:01:06.692Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\inheritance\index.md
2019-07-16T06:01:06.692Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\index.md
2019-07-16T06:01:06.692Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\inheritance\interfaces\index.md
2019-07-16T06:01:06.701Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\inheritance\objectClass\index.md
2019-07-16T06:01:06.702Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\inheritance\polymorphism\index.md
2019-07-16T06:01:06.702Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\javaWorld\editions\index.md
2019-07-16T06:01:06.702Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\javaWorld\how\index.md
2019-07-16T06:01:06.702Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\javaWorld\index.md
2019-07-16T06:01:06.713Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\javaWorld\what\index.md
2019-07-16T06:01:06.713Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\cppToJava\misc\accessModifiers\index.md
